fiscalyear,school,from_full,to_full,total_trips,total_emissions,from_lat,from_lng,to_lat,to_lng
FY2023-24,101,"Baltimore, Maryland, United States","Fort Lauderdale, Florida, United States",2,361.2228386,39.2908816,-76.610759,26.1223084,-80.1433786
FY2023-24,101,"Baltimore, Maryland, United States","Fort Myers, Florida, United States",1,179.4411509,39.2908816,-76.610759,26.640628,-81.8723084
FY2023-24,101,"Baltimore, Maryland, United States","Hartford, Connecticut, United States",4,271.1756766,39.2908816,-76.610759,41.764582,-72.6908547
FY2023-24,101,"Baltimore, Maryland, United States","Houston, Texas, United States",10,2188.265785,39.2908816,-76.610759,29.7589382,-95.3676974
FY2023-24,101,"Baltimore, Maryland, United States","Indianapolis, Indiana, United States",2,200.5059817,39.2908816,-76.610759,39.7683331,-86.1583502
FY2023-24,101,"Baltimore, Maryland, United States","Las Vegas, Nevada, United States",8,2970.522155,39.2908816,-76.610759,36.2533896,-115.2794366
FY2023-24,101,"Baltimore, Maryland, United States","London, Gb",1,640.7355434,39.2908816,-76.610759,51.5074456,-0.1277653
FY2023-24,101,"Baltimore, Maryland, United States","Los Angeles, California, United States",19,7804.519796,39.2908816,-76.610759,34.0536909,-118.242766
FY2023-24,101,"Baltimore, Maryland, United States","Louisville, Kentucky, United States",2,192.314103,39.2908816,-76.610759,38.2542376,-85.759407
FY2023-24,101,"Baltimore, Maryland, United States","Manchester, New Hampshire, United States",4,293.3472728,39.2908816,-76.610759,42.9956397,-71.4547891
FY2023-24,101,"Baltimore, Maryland, United States","Miami, Florida, United States",4,738.8294344,39.2908816,-76.610759,25.7741728,-80.19362
FY2023-24,101,"Baltimore, Maryland, United States","Milwaukee, Wisconsin, United States",4,498.534328,39.2908816,-76.610759,43.0386475,-87.9090751
FY2023-24,101,"Baltimore, Maryland, United States","Minneapolis/St Paul, Minnesota, United States",3,545.9301971699999,39.2908816,-76.610759,44.878019050000006,-93.22092805
FY2023-24,101,"Baltimore, Maryland, United States","Nashville, Tennessee, United States",5,570.5058330500001,39.2908816,-76.610759,36.1622767,-86.7742984
FY2023-24,101,"Baltimore, Maryland, United States","New Orleans, Louisiana, United States",1,176.3703304,39.2908816,-76.610759,29.9759983,-90.0782127
FY2023-24,101,"Baltimore, Maryland, United States","Oakland, California, United States",4,1725.846483,39.2908816,-76.610759,37.8044557,-122.271356
FY2023-24,101,"Baltimore, Maryland, United States","Orlando, Florida, United States",2,307.0004038,39.2908816,-76.610759,28.5421109,-81.3790304
FY2023-24,101,"Baltimore, Maryland, United States","Phoenix, Arizona, United States",5,1762.818799,39.2908816,-76.610759,33.4484367,-112.074141
FY2023-24,101,"Baltimore, Maryland, United States","Pittsburgh, Pennsylvania, United States",1,50.24442944,39.2908816,-76.610759,40.4416941,-79.9900861
FY2023-24,101,"Baltimore, Maryland, United States","Portland, Maine, United States",1,87.96517289,39.2908816,-76.610759,43.6573605,-70.2586618
FY2023-24,101,"Baltimore, Maryland, United States","Raleigh/Durham, North Carolina, United States",24,1471.272288,39.2908816,-76.610759,35.880361449999995,-78.78723822
FY2023-24,101,"Baltimore, Maryland, United States","Salt Lake City, Utah, United States",1,328.6821203,39.2908816,-76.610759,40.7596198,-111.886797
FY2023-24,101,"Baltimore, Maryland, United States","San Antonio, Texas, United States",1,248.3690511,39.2908816,-76.610759,29.4246002,-98.4951405
FY2023-24,101,"Baltimore, Maryland, United States","San Diego, California, United States",8,3237.996517,39.2908816,-76.610759,32.7174202,-117.162772
FY2023-24,101,"Baltimore, Maryland, United States","San Francisco, California, United States",8,3467.260257,39.2908816,-76.610759,37.7792588,-122.4193286
FY2023-24,101,"Baltimore, Maryland, United States","Sarasota/Bradenton, Florida, United States",2,343.2787235,39.2908816,-76.610759,27.395988350000003,-82.55407423
FY2023-24,101,"Baltimore, Maryland, United States","Seattle, Washington, United States",1,411.648705,39.2908816,-76.610759,47.6038321,-122.330062
FY2023-24,101,"Baltimore, Maryland, United States","St Louis, Missouri, United States",1,143.357876,39.2908816,-76.610759,38.6280278,-90.1910154
FY2023-24,101,"Baltimore, Maryland, United States","Tampa, Florida, United States",6,986.5362406,39.2908816,-76.610759,27.9477595,-82.458444
FY2023-24,101,"Baltimore, Maryland, United States","Tucson, Arizona, United States",1,348.671937,39.2908816,-76.610759,32.2228765,-110.974847
FY2023-24,101,"Baltimore, Maryland, United States","West Palm Beach, Florida, United States",3,517.258622,39.2908816,-76.610759,26.715364,-80.0532942
FY2023-24,101,"Baton Rouge, Louisiana, United States","Atlanta, Georgia, United States",1,87.18499398,30.4494155,-91.1869659,33.7489924,-84.3902644
